date,apple,pen
2006-01-01,14244,767
2006-01-02,13395,722
2006-01-03,12475,689
2006-01-04,11601,634
2006-01-05,10775,586
2006-01-06,9910,538
2006-01-07,9073,499
2006-01-08,8280,455
2006-01-09,7473,394
2006-01-10,6617,343
2006-01-11,5817,295
2006-01-12,4936,253
2006-01-13,4052,213
2006-01-14,3200,159
2006-01-15,17384,866
2006-01-16,16518,813
2006-01-17,15642,769
2006-01-18,14812,721
2006-01-19,13893,675
2006-01-20,13049,629
2006-01-21,12231,591
2006-01-22,11354,542
2006-01-23,10528,494
2006-01-24,9692,442
2006-01-25,8785,396
2006-01-26,7904,363
2006-01-27,7097,323
2006-01-28,6208,278
2006-01-29,5395,233
2006-01-30,4553,187
2006-01-31,3678,122
2006-02-01,17934,874
2006-02-02,17051,828
2006-02-03,16235,792
2006-02-04,15415,751
2006-02-05,14576,708
2006-02-06,13696,667
2006-02-07,12806,635
2006-02-08,11941,591
2006-02-09,11105,545
2006-02-10,10264,497
2006-02-11,9413,450
2006-02-12,8573,414
2006-02-13,7725,373
2006-02-14,6842,323
2006-02-15,20884,1078
2006-02-16,20051,1030
2006-02-17,19203,970
2006-02-18,18317,933
2006-02-19,17549,898
2006-02-20,16704,863
2006-02-21,15859,813
2006-02-22,15026,775
2006-02-23,14184,735
2006-02-24,13348,679
2006-02-25,12519,636
2006-02-26,11644,585
2006-02-27,10813,535
2006-02-28,9921,491
2006-03-01,24061,1259
2006-03-02,23251,1216
2006-03-03,22406,1174
2006-03-04,21498,1132
2006-03-05,20657,1098
2006-03-06,19824,1052
2006-03-07,18928,1016
2006-03-08,18086,965
2006-03-09,17264,917
2006-03-10,16351,858
2006-03-11,15457,813
2006-03-12,14583,768
2006-03-13,13810,739
2006-03-14,12928,690
2006-03-15,27012,1478
2006-03-16,26176,1446
2006-03-17,25338,1406
2006-03-18,24515,1368
2006-03-19,23594,1324
2006-03-20,22737,1286
2006-03-21,21923,1250
2006-03-22,21056,1190
2006-03-23,20267,1148
2006-03-24,19415,1096
2006-03-25,18552,1052
2006-03-26,17709,1003
2006-03-27,16853,954
2006-03-28,16118,903
2006-03-29,15265,855
2006-03-30,14424,805
2006-03-31,13607,766
2006-04-01,27646,1471
2006-04-02,26822,1431
2006-04-03,25967,1387
2006-04-04,25109,1341
2006-04-05,24296,1296
2006-04-06,23437,1244
2006-04-07,22593,1197
2006-04-08,21755,1161
2006-04-09,20899,1117
2006-04-10,20073,1063
2006-04-11,19192,1011
2006-04-12,18362,958
2006-04-13,17517,902
2006-04-14,16711,858
2006-04-15,30750,1533
2006-04-16,29960,1501
2006-04-17,29059,1458
2006-04-18,28194,1408
2006-04-19,27346,1366
2006-04-20,26516,1316
2006-04-21,25680,1261
2006-04-22,24834,1212
2006-04-23,23959,1163
2006-04-24,23056,1117
2006-04-25,22186,1067
2006-04-26,21344,1027
2006-04-27,20530,979
2006-04-28,19650,931
2006-04-29,18767,881
2006-04-30,17930,824
2006-05-01,31978,1581
2006-05-02,31117,1530
2006-05-03,30272,1489
2006-05-04,29445,1446
2006-05-05,28594,1405
2006-05-06,27738,1361
2006-05-07,26913,1327
2006-05-08,26049,1291
2006-05-09,25194,1249
2006-05-10,24344,1205
2006-05-11,23488,1159
2006-05-12,22646,1114
2006-05-13,21812,1063
2006-05-14,20939,1027
2006-05-15,35024,1701
2006-05-16,34169,1655
2006-05-17,33286,1610
2006-05-18,32500,1573
2006-05-19,31588,1532
2006-05-20,30745,1490
2006-05-21,29863,1446
2006-05-22,29030,1402
2006-05-23,28225,1363
2006-05-24,27349,1323
2006-05-25,26496,1282
2006-05-26,25683,1241
2006-05-27,24857,1195
2006-05-28,23998,1141
2006-05-29,23135,1091
2006-05-30,22317,1053
2006-05-31,21458,993
2006-06-01,35681,1785
2006-06-02,34834,1742
2006-06-03,33970,1702
2006-06-04,33110,1657
2006-06-05,32279,1612
2006-06-06,31445,1569
2006-06-07,30570,1518
2006-06-08,29720,1471
2006-06-09,28858,1433
2006-06-10,28032,1390
2006-06-11,27170,1347
2006-06-12,26295,1312
2006-06-13,25437,1277
2006-06-14,24584,1235
2006-06-15,38679,2000
2006-06-16,37865,1965
2006-06-17,36997,1920
2006-06-18,36127,1888
2006-06-19,35250,1839
2006-06-20,34418,1796
2006-06-21,33572,1744
2006-06-22,32721,1696
2006-06-23,31901,1660
2006-06-24,31089,1601
2006-06-25,30216,1569
2006-06-26,29410,1532
2006-06-27,28575,1492
2006-06-28,27733,1445
2006-06-29,26949,1403
2006-06-30,26085,1357
2006-07-01,40343,2105
2006-07-02,39503,2060
2006-07-03,38664,2022
2006-07-04,37836,1989
2006-07-05,36969,1946
2006-07-06,36114,1895
2006-07-07,35278,1863
2006-07-08,34452,1823
2006-07-09,33607,1773
2006-07-10,32780,1730
2006-07-11,31992,1693
2006-07-12,31125,1639
2006-07-13,30209,1592
2006-07-14,29378,1556
2006-07-15,43452,2295
2006-07-16,42669,2252
2006-07-17,41854,2209
2006-07-18,40996,2170
2006-07-19,40154,2127
2006-07-20,39261,2077
2006-07-21,38441,2024
2006-07-22,37605,1987
2006-07-23,36737,1950
2006-07-24,35896,1902
2006-07-25,35098,1858
2006-07-26,34239,1808
2006-07-27,33368,1769
2006-07-28,32505,1718
2006-07-29,31635,1675
2006-07-30,30706,1633
2006-07-31,29860,1591
2006-08-01,44127,2380
2006-08-02,43255,2344
2006-08-03,42421,2302
2006-08-04,41494,2248
2006-08-05,40595,2194
2006-08-06,39800,2142
2006-08-07,38986,2079
2006-08-08,38117,2031
2006-08-09,37280,1983
2006-08-10,36435,1940
2006-08-11,35635,1900
2006-08-12,34826,1850
2006-08-13,34009,1805
2006-08-14,33152,1756
2006-08-15,47459,2471
2006-08-16,46590,2436
2006-08-17,45744,2395
2006-08-18,44855,2344
2006-08-19,43994,2294
2006-08-20,43138,2247
2006-08-21,42324,2207
2006-08-22,41482,2158
2006-08-23,40644,2108
2006-08-24,39821,2067
2006-08-25,39008,2017
2006-08-26,38137,1968
2006-08-27,37319,1930
2006-08-28,36483,1889
2006-08-29,35608,1839
2006-08-30,34765,1794
2006-08-31,33877,1747
2006-09-01,48104,2480
2006-09-02,47247,2433
2006-09-03,46372,2390
2006-09-04,45538,2340
2006-09-05,44700,2296
2006-09-06,43821,2253
2006-09-07,42992,2218
2006-09-08,42138,2165
2006-09-09,41250,2117
2006-09-10,40383,2069
2006-09-11,39583,2026
2006-09-12,38723,1983
2006-09-13,37858,1946
2006-09-14,36998,1902
2006-09-15,51241,2663
2006-09-16,50402,2624
2006-09-17,49539,2582
2006-09-18,48698,2532
2006-09-19,47828,2491
2006-09-20,46964,2452
2006-09-21,46097,2402
2006-09-22,45217,2358
2006-09-23,44340,2316
2006-09-24,43497,2264
2006-09-25,42686,2224
2006-09-26,41830,2192
2006-09-27,40962,2151
2006-09-28,40150,2101
2006-09-29,39274,2070
2006-09-30,38452,2018
2006-10-01,52632,2729
2006-10-02,51781,2680
2006-10-03,50952,2639
2006-10-04,50128,2601
2006-10-05,49286,2542
2006-10-06,48449,2496
2006-10-07,47597,2448
2006-10-08,46788,2398
2006-10-09,45909,2350
2006-10-10,45060,2311
2006-10-11,44207,2259
2006-10-12,43345,2214
2006-10-13,42502,2174
2006-10-14,41686,2141
2006-10-15,55943,2895
2006-10-16,55080,2851
2006-10-17,54257,2812
2006-10-18,53403,2780
2006-10-19,52525,2740
2006-10-20,51648,2696
2006-10-21,50829,2651
2006-10-22,49985,2611
2006-10-23,49099,2559
2006-10-24,48219,2511
2006-10-25,47345,2463
2006-10-26,46497,2426
2006-10-27,45661,2374
2006-10-28,44787,2337
2006-10-29,43879,2289
2006-10-30,43024,2245
2006-10-31,42176,2206
2006-11-01,56506,2969
2006-11-02,55649,2920
2006-11-03,54817,2883
2006-11-04,53954,2854
2006-11-05,53139,2812
2006-11-06,52243,2771
2006-11-07,51448,2725
2006-11-08,50601,2684
2006-11-09,49805,2647
2006-11-10,48983,2595
2006-11-11,48094,2559
2006-11-12,47264,2526
2006-11-13,46404,2489
2006-11-14,45542,2451
2006-11-15,59450,3206
2006-11-16,58613,3163
2006-11-17,57784,3107
2006-11-18,56914,3061
2006-11-19,56014,3013
2006-11-20,55148,2964
2006-11-21,54255,2925
2006-11-22,53413,2889
2006-11-23,52574,2848
2006-11-24,51734,2802
2006-11-25,50896,2750
2006-11-26,50046,2704
2006-11-27,49155,2657
2006-11-28,48261,2614
2006-11-29,47392,2557
2006-11-30,46511,2496
2006-12-01,60638,3236
2006-12-02,59775,3195
2006-12-03,58905,3145
2006-12-04,58077,3109
2006-12-05,57221,3055
2006-12-06,56395,3005
2006-12-07,55482,2962
2006-12-08,54620,2912
2006-12-09,53796,2864
2006-12-10,52923,2821
2006-12-11,52115,2780
2006-12-12,51339,2736
2006-12-13,50500,2701
2006-12-14,49660,2663
2006-12-15,63822,3421
2006-12-16,62968,3367
2006-12-17,62094,3326
2006-12-18,61197,3290
2006-12-19,60321,3244
2006-12-20,59510,3206
2006-12-21,58661,3155
2006-12-22,57806,3113
2006-12-23,56935,3076
2006-12-24,56087,3028
2006-12-25,55180,2985
2006-12-26,54347,2941
2006-12-27,53519,2898
2006-12-28,52676,2841
2006-12-29,51806,2794
2006-12-30,50940,2743
2006-12-31,50095,2686
2007-01-01,64397,3453
2007-01-02,63527,3401
2007-01-03,62658,3365
2007-01-04,61845,3310
2007-01-05,61003,3271
2007-01-06,60099,3229
2007-01-07,59217,3180
2007-01-08,58392,3136
2007-01-09,57499,3101
2007-01-10,56734,3069
2007-01-11,55901,3018
2007-01-12,55056,2973
2007-01-13,54243,2924
2007-01-14,53390,2876
2007-01-15,67669,3627
2007-01-16,66806,3588
2007-01-17,65873,3540
2007-01-18,65039,3496
2007-01-19,64188,3450
2007-01-20,63382,3406
2007-01-21,62501,3360
2007-01-22,61590,3314
2007-01-23,60719,3266
2007-01-24,59840,3225
2007-01-25,58989,3182
2007-01-26,58110,3140
2007-01-27,57274,3095
2007-01-28,56465,3048
2007-01-29,55602,2992
2007-01-30,54722,2958
2007-01-31,53832,2904
2007-02-01,68259,3651
2007-02-02,67418,3614
2007-02-03,66580,3566
2007-02-04,65726,3515
2007-02-05,64887,3464
2007-02-06,64024,3418
2007-02-07,63147,3382
2007-02-08,62249,3342
2007-02-09,61394,3300
2007-02-10,60543,3252
2007-02-11,59692,3204
2007-02-12,58785,3150
2007-02-13,57969,3113
2007-02-14,57095,3065
2007-02-15,71245,3856
2007-02-16,70401,3806
2007-02-17,69549,3768
2007-02-18,68782,3716
2007-02-19,67975,3653
2007-02-20,67171,3613
2007-02-21,66341,3564
2007-02-22,65496,3521
2007-02-23,64637,3469
2007-02-24,63765,3432
2007-02-25,62941,3385
2007-02-26,62073,3351
2007-02-27,61253,3305
2007-02-28,60440,3258
2007-03-01,74395,3941
2007-03-02,73519,3886
2007-03-03,72682,3841
2007-03-04,71805,3802
2007-03-05,70926,3767
2007-03-06,70104,3721
2007-03-07,69281,3684
2007-03-08,68454,3645
2007-03-09,67592,3609
2007-03-10,66744,3569
2007-03-11,65884,3531
2007-03-12,65046,3486
