date,apple,pen
2006-01-31,6,9
2006-02-28,2,5
2006-03-31,7,5
2006-04-30,9,5
2006-05-31,4,8
2006-06-30,4,3
2006-07-31,3,5
2006-08-31,3,7
2006-09-30,4,8
2006-10-31,5,4
2006-11-30,12,11
2006-12-31,6,9
2007-01-31,6,4
2007-02-28,8,4
2007-03-31,8,5
2007-04-30,5,6
2007-05-31,4,4
2007-06-30,1,2
2007-07-31,7,2
2007-08-31,2,9
2007-09-30,5,5
2007-10-31,6,3
2007-11-30,9,5
2007-12-31,1,3
2008-01-31,11,5
2008-02-29,4,7
2008-03-31,4,6
2008-04-30,9,2
2008-05-31,3,5
2008-06-30,2,5
2008-07-31,6,5
2008-08-31,4,3
2008-09-30,1,4
2008-10-31,10,5
2008-11-30,8,6
2008-12-31,5,5
2009-01-31,3,2
2009-02-28,3,5
2009-03-31,6,9
2009-04-30,10,5
2009-05-31,4,8
2009-06-30,8,6
2009-07-31,5,5
2009-08-31,6,6
2009-09-30,4,6
2009-10-31,2,7
2009-11-30,1,1
2009-12-31,12,6
2010-01-31,9,1
2010-02-28,3,6
2010-03-31,7,6
2010-04-30,5,5
2010-05-31,4,6
2010-06-30,2,5
2010-07-31,3,5
2010-08-31,9,4
2010-09-30,3,4
2010-10-31,6,5
2010-11-30,4,9
2010-12-31,8,2
2011-01-31,6,8
2011-02-28,7,3
2011-03-31,7,2
2011-04-30,4,4
2011-05-31,7,9
2011-06-30,5,6
2011-07-31,6,5
2011-08-31,4,4
2011-09-30,3,4
2011-10-31,6,7
2011-11-30,5,6
2011-12-31,2,8
2012-01-31,4,2
2012-02-29,1,3
2012-03-31,5,4
2012-04-30,6,5
2012-05-31,8,5
2012-06-30,3,4
2012-07-31,7,6
2012-08-31,4,7
2012-09-30,5,5
2012-10-31,4,3
2012-11-30,2,5
2012-12-31,8,5
2013-01-31,5,9
2013-02-28,5,7
2013-03-31,4,4
2013-04-30,1,6
2013-05-31,9,7
2013-06-30,5,7
2013-07-31,4,4
2013-08-31,2,6
2013-09-30,4,3
2013-10-31,7,6
2013-11-30,6,4
2013-12-31,4,4
2014-01-31,4,5
2014-02-28,5,6
2014-03-31,4,6
2014-04-30,5,4
2014-05-31,7,5
2014-06-30,6,3
2014-07-31,8,3
2014-08-31,6,5
2014-09-30,5,5
2014-10-31,7,9
2014-11-30,7,7
2014-12-31,4,5
2015-01-31,7,4
2015-02-28,2,6
2015-03-31,5,3
2015-04-30,5,6
2015-05-31,5,5
2015-06-30,5,7
2015-07-31,3,5
2015-08-31,5,5
2015-09-30,1,5
2015-10-31,5,4
2015-11-30,5,4
2015-12-31,3,4
