date,apple,pen
2006-01-01,3002,294
2006-01-02,2923,288
2006-01-03,2840,273
2006-01-04,2754,259
2006-01-05,2657,247
2006-01-06,2555,242
2006-01-07,2464,234
2006-01-08,2353,229
2006-01-09,2255,218
2006-01-10,2155,212
2006-01-11,2063,206
2006-01-12,1979,200
2006-01-13,1896,187
2006-01-14,1799,178
2006-01-15,4609,505
2006-01-16,4522,491
2006-01-17,4422,479
2006-01-18,4331,472
2006-01-19,4235,461
2006-01-20,4139,453
2006-01-21,4050,437
2006-01-22,3960,429
2006-01-23,3864,418
2006-01-24,3764,406
2006-01-25,3647,394
2006-01-26,3564,378
2006-01-27,3475,369
2006-01-28,3382,363
2006-01-29,3289,350
2006-01-30,3171,340
2006-01-31,3086,328
2006-02-01,5993,634
2006-02-02,5899,620
2006-02-03,5818,610
2006-02-04,5731,595
2006-02-05,5640,581
2006-02-06,5563,570
2006-02-07,5465,564
2006-02-08,5372,552
2006-02-09,5270,537
2006-02-10,5181,530
2006-02-11,5086,522
2006-02-12,4985,516
2006-02-13,4901,501
2006-02-14,4824,488
2006-02-15,7736,820
2006-02-16,7638,807
2006-02-17,7547,800
2006-02-18,7449,789
2006-02-19,7349,776
2006-02-20,7282,765
2006-02-21,7174,753
2006-02-22,7069,735
2006-02-23,6963,720
2006-02-24,6867,713
2006-02-25,6774,702
2006-02-26,6675,698
2006-02-27,6582,691
2006-02-28,6495,681
2006-03-01,9414,1016
2006-03-02,9328,1009
2006-03-03,9224,998
2006-03-04,9138,985
2006-03-05,9049,974
2006-03-06,8945,964
2006-03-07,8864,955
2006-03-08,8782,942
2006-03-09,8701,927
2006-03-10,8593,921
2006-03-11,8501,906
2006-03-12,8397,894
2006-03-13,8318,879
2006-03-14,8230,864
2006-03-15,11079,1224
2006-03-16,11000,1214
2006-03-17,10917,1209
2006-03-18,10805,1199
2006-03-19,10703,1187
2006-03-20,10623,1174
2006-03-21,10525,1167
2006-03-22,10427,1161
2006-03-23,10333,1152
2006-03-24,10248,1138
2006-03-25,10160,1133
2006-03-26,10081,1123
2006-03-27,9971,1108
2006-03-28,9881,1096
2006-03-29,9803,1086
2006-03-30,9708,1076
2006-03-31,9618,1062
2006-04-01,12465,1391
2006-04-02,12363,1380
2006-04-03,12265,1370
2006-04-04,12166,1365
2006-04-05,12075,1354
2006-04-06,11986,1339
2006-04-07,11895,1326
2006-04-08,11804,1308
2006-04-09,11724,1296
2006-04-10,11645,1288
2006-04-11,11541,1277
2006-04-12,11455,1266
2006-04-13,11354,1254
2006-04-14,11255,1242
2006-04-15,14105,1564
2006-04-16,14014,1558
2006-04-17,13922,1542
2006-04-18,13832,1535
2006-04-19,13742,1530
2006-04-20,13645,1516
2006-04-21,13556,1500
2006-04-22,13471,1489
2006-04-23,13376,1474
2006-04-24,13283,1463
2006-04-25,13177,1453
2006-04-26,13084,1438
2006-04-27,12995,1425
2006-04-28,12888,1415
2006-04-29,12805,1414
2006-04-30,12707,1411
2006-05-01,15629,1738
2006-05-02,15536,1727
2006-05-03,15440,1717
2006-05-04,15341,1708
2006-05-05,15242,1699
2006-05-06,15149,1690
2006-05-07,15059,1679
2006-05-08,14965,1665
2006-05-09,14858,1652
2006-05-10,14778,1643
2006-05-11,14680,1633
2006-05-12,14590,1617
2006-05-13,14500,1610
2006-05-14,14410,1602
2006-05-15,17368,1927
2006-05-16,17267,1912
2006-05-17,17169,1910
2006-05-18,17065,1906
2006-05-19,16968,1896
2006-05-20,16862,1889
2006-05-21,16777,1878
2006-05-22,16687,1866
2006-05-23,16606,1861
2006-05-24,16521,1857
2006-05-25,16433,1847
2006-05-26,16328,1836
2006-05-27,16227,1828
2006-05-28,16138,1818
2006-05-29,16031,1804
2006-05-30,15943,1799
2006-05-31,15844,1788
2006-06-01,18604,2109
2006-06-02,18515,2101
2006-06-03,18427,2088
2006-06-04,18338,2079
2006-06-05,18265,2072
2006-06-06,18172,2066
2006-06-07,18070,2060
2006-06-08,17998,2054
2006-06-09,17904,2045
2006-06-10,17795,2039
2006-06-11,17701,2032
2006-06-12,17618,2016
2006-06-13,17537,2009
2006-06-14,17426,1992
2006-06-15,20305,2319
2006-06-16,20206,2303
2006-06-17,20130,2290
2006-06-18,20031,2277
2006-06-19,19946,2268
2006-06-20,19863,2263
2006-06-21,19763,2255
2006-06-22,19668,2248
2006-06-23,19563,2241
2006-06-24,19463,2233
2006-06-25,19371,2222
2006-06-26,19291,2213
2006-06-27,19196,2204
2006-06-28,19098,2199
2006-06-29,19005,2187
2006-06-30,18915,2178
2006-07-01,21859,2519
2006-07-02,21766,2512
2006-07-03,21682,2504
2006-07-04,21578,2488
2006-07-05,21480,2479
2006-07-06,21381,2463
2006-07-07,21280,2457
2006-07-08,21175,2447
2006-07-09,21087,2439
2006-07-10,21008,2426
2006-07-11,20918,2411
2006-07-12,20825,2396
2006-07-13,20721,2389
2006-07-14,20634,2376
2006-07-15,23614,2675
2006-07-16,23515,2667
2006-07-17,23413,2661
2006-07-18,23326,2654
2006-07-19,23225,2645
2006-07-20,23142,2640
2006-07-21,23052,2631
2006-07-22,22977,2621
2006-07-23,22892,2613
2006-07-24,22793,2599
2006-07-25,22706,2588
2006-07-26,22619,2576
2006-07-27,22515,2563
2006-07-28,22428,2558
2006-07-29,22344,2546
2006-07-30,22247,2539
2006-07-31,22145,2531
2006-08-01,25161,2867
2006-08-02,25075,2855
2006-08-03,24966,2850
2006-08-04,24872,2839
2006-08-05,24775,2824
2006-08-06,24677,2816
2006-08-07,24581,2804
2006-08-08,24508,2796
2006-08-09,24419,2784
2006-08-10,24336,2775
2006-08-11,24243,2761
2006-08-12,24160,2748
2006-08-13,24059,2735
2006-08-14,23972,2724
2006-08-15,26921,3043
2006-08-16,26827,3034
2006-08-17,26748,3028
2006-08-18,26638,3017
2006-08-19,26534,3008
2006-08-20,26448,3000
2006-08-21,26348,2986
2006-08-22,26262,2972
2006-08-23,26164,2966
2006-08-24,26089,2954
2006-08-25,25993,2939
2006-08-26,25879,2931
2006-08-27,25782,2915
2006-08-28,25682,2906
2006-08-29,25578,2899
2006-08-30,25459,2885
2006-08-31,25372,2867
2006-09-01,28281,3175
2006-09-02,28181,3162
2006-09-03,28083,3153
2006-09-04,27990,3146
2006-09-05,27901,3134
2006-09-06,27802,3123
2006-09-07,27713,3114
2006-09-08,27631,3107
2006-09-09,27534,3104
2006-09-10,27422,3095
2006-09-11,27328,3084
2006-09-12,27242,3076
2006-09-13,27158,3065
2006-09-14,27069,3055
2006-09-15,29987,3380
2006-09-16,29916,3372
2006-09-17,29823,3362
2006-09-18,29723,3354
2006-09-19,29631,3342
2006-09-20,29528,3334
2006-09-21,29435,3327
2006-09-22,29339,3318
2006-09-23,29254,3310
2006-09-24,29171,3301
2006-09-25,29082,3289
2006-09-26,28977,3284
2006-09-27,28891,3279
2006-09-28,28810,3266
2006-09-29,28739,3258
2006-09-30,28639,3246
2006-10-01,31502,3539
2006-10-02,31407,3529
2006-10-03,31309,3525
2006-10-04,31220,3513
2006-10-05,31133,3500
2006-10-06,31022,3486
2006-10-07,30923,3477
2006-10-08,30833,3462
2006-10-09,30751,3450
2006-10-10,30656,3442
2006-10-11,30555,3431
2006-10-12,30455,3419
2006-10-13,30367,3413
2006-10-14,30279,3402
2006-10-15,33231,3716
2006-10-16,33145,3707
2006-10-17,33054,3697
2006-10-18,32963,3688
2006-10-19,32874,3676
2006-10-20,32778,3669
2006-10-21,32685,3654
2006-10-22,32583,3641
2006-10-23,32491,3634
2006-10-24,32405,3623
2006-10-25,32298,3615
2006-10-26,32205,3608
2006-10-27,32105,3597
2006-10-28,32015,3587
2006-10-29,31915,3575
2006-10-30,31807,3564
2006-10-31,31688,3554
2006-11-01,34585,3893
2006-11-02,34512,3887
2006-11-03,34420,3877
2006-11-04,34335,3868
2006-11-05,34252,3856
2006-11-06,34161,3848
2006-11-07,34069,3839
2006-11-08,34001,3834
2006-11-09,33908,3824
2006-11-10,33826,3820
2006-11-11,33738,3808
2006-11-12,33633,3799
2006-11-13,33568,3786
2006-11-14,33487,3774
2006-11-15,36351,4102
2006-11-16,36253,4091
2006-11-17,36163,4086
2006-11-18,36068,4077
2006-11-19,35960,4068
2006-11-20,35870,4057
2006-11-21,35787,4051
2006-11-22,35691,4042
2006-11-23,35602,4029
2006-11-24,35505,4018
2006-11-25,35415,4009
2006-11-26,35332,3996
2006-11-27,35230,3983
2006-11-28,35130,3970
2006-11-29,35051,3960
2006-11-30,34949,3944
2006-12-01,37979,4308
2006-12-02,37898,4299
2006-12-03,37808,4292
2006-12-04,37709,4286
2006-12-05,37629,4279
2006-12-06,37536,4268
2006-12-07,37440,4260
2006-12-08,37342,4248
2006-12-09,37245,4236
2006-12-10,37125,4224
2006-12-11,37027,4216
2006-12-12,36928,4204
2006-12-13,36831,4192
2006-12-14,36718,4188
2006-12-15,39535,4551
2006-12-16,39451,4544
2006-12-17,39349,4537
2006-12-18,39260,4525
2006-12-19,39156,4519
2006-12-20,39063,4503
2006-12-21,38974,4486
2006-12-22,38877,4477
2006-12-23,38777,4468
2006-12-24,38704,4460
2006-12-25,38614,4454
2006-12-26,38519,4447
2006-12-27,38431,4431
2006-12-28,38356,4420
2006-12-29,38255,4412
2006-12-30,38176,4394
2006-12-31,38084,4372
2007-01-01,41089,4697
2007-01-02,41005,4689
2007-01-03,40907,4676
2007-01-04,40817,4667
2007-01-05,40720,4655
2007-01-06,40621,4643
2007-01-07,40506,4634
2007-01-08,40414,4624
2007-01-09,40329,4614
2007-01-10,40234,4600
2007-01-11,40131,4596
2007-01-12,40041,4583
2007-01-13,39969,4574
2007-01-14,39892,4556
2007-01-15,42759,4884
2007-01-16,42672,4873
2007-01-17,42576,4863
2007-01-18,42487,4849
2007-01-19,42383,4840
2007-01-20,42280,4827
2007-01-21,42174,4815
2007-01-22,42077,4801
2007-01-23,41967,4788
2007-01-24,41872,4772
2007-01-25,41784,4767
2007-01-26,41695,4758
2007-01-27,41602,4747
2007-01-28,41504,4738
2007-01-29,41425,4730
2007-01-30,41337,4718
2007-01-31,41254,4703
2007-02-01,44209,5048
2007-02-02,44100,5038
2007-02-03,44011,5027
2007-02-04,43924,5020
2007-02-05,43827,5004
2007-02-06,43737,4994
2007-02-07,43642,4979
2007-02-08,43549,4969
2007-02-09,43457,4959
2007-02-10,43364,4952
2007-02-11,43277,4946
2007-02-12,43190,4931
2007-02-13,43092,4918
2007-02-14,42989,4910
2007-02-15,45965,5233
2007-02-16,45881,5225
2007-02-17,45786,5212
2007-02-18,45712,5200
2007-02-19,45622,5194
2007-02-20,45518,5183
2007-02-21,45435,5171
2007-02-22,45346,5160
2007-02-23,45251,5155
2007-02-24,45146,5141
2007-02-25,45057,5134
2007-02-26,44951,5123
2007-02-27,44858,5114
2007-02-28,44779,5108
2007-03-01,47794,5438
2007-03-02,47713,5427
2007-03-03,47606,5413
2007-03-04,47503,5401
2007-03-05,47427,5392
2007-03-06,47345,5375
2007-03-07,47251,5366
2007-03-08,47160,5357
2007-03-09,47089,5344
2007-03-10,47005,5336
2007-03-11,46904,5324
2007-03-12,46818,5314
2007-03-13,46733,5301
2007-03-14,46645,5289
2007-03-15,49481,5611
2007-03-16,49397,5600
2007-03-17,49280,5592
2007-03-18,49173,5585
2007-03-19,49078,5578
2007-03-20,48989,5569
2007-03-21,48901,5554
2007-03-22,48801,5546
2007-03-23,48720,5533
2007-03-24,48623,5527
2007-03-25,48540,5519
2007-03-26,48440,5510
2007-03-27,48364,5500
2007-03-28,48263,5485
2007-03-29,48150,5479
2007-03-30,48069,5473
2007-03-31,47966,5461
2007-04-01,50962,5763
2007-04-02,50883,5750
2007-04-03,50801,5740
2007-04-04,50709,5727
2007-04-05,50609,5715
2007-04-06,50502,5705
2007-04-07,50407,5698
2007-04-08,50303,5687
2007-04-09,50224,5679
2007-04-10,50123,5671
2007-04-11,50040,5659
2007-04-12,49948,5643
2007-04-13,49854,5632
2007-04-14,49747,5630
2007-04-15,52565,5972
2007-04-16,52459,5962
